frequency_thz,n,k,eps1,eps2,sigma_re,sigma_im
,3.27922,0.0361,10.752,0.23677,,
,3.28285,0.03735,10.77572,0.24525,,
,3.2863,0.03793,10.79834,0.24927,,
,3.28953,0.03791,10.81957,0.24942,,
,3.29251,0.03741,10.83923,0.24635,,
,3.29525,0.03652,10.85733,0.24069,,
,3.29776,0.03533,10.87395,0.23299,,
,3.30006,0.0339,10.88922,0.22374,,
,3.30217,0.0323,10.9033,0.21335,,
,3.30413,0.0306,10.91631,0.2022,,
,3.30594,0.02883,10.9284,0.19062,,
,3.30762,0.02705,10.93964,0.17893,,
,3.3092,0.0253,10.95014,0.16746,,
,3.31067,0.02365,10.95997,0.15657,,
,3.31205,0.02213,10.9692,0.14662,,
,3.31337,0.02083,10.97795,0.13801,,
,3.31463,0.01979,10.98635,0.13116,,
,3.31586,0.01907,10.99457,0.12648,,
,3.3171,0.01874,11.00279,0.12434,,
,3.31837,0.01885,11.01125,0.1251,,
,3.31972,0.01943,11.02015,0.12903,,
,3.32116,0.02052,11.02968,0.13633,,
,3.32272,0.02214,11.03996,0.1471,,
,3.32439,0.02428,11.051,0.16142,,
,3.32618,0.02695,11.06272,0.17927,,
,3.32804,0.03014,11.07493,0.20064,,
,3.32992,0.03386,11.08725,0.22548,,
,3.33176,0.03808,11.09917,0.25377,,
,3.33342,0.04282,11.10988,0.28547,,
,3.33474,0.04806,11.11821,0.32051,,
,3.33546,0.05375,11.1224,0.35858,,
,3.33518,0.05979,11.11982,0.39881,,
,3.33335,0.06579,11.10691,0.43863,,
,3.32946,0.07089,11.08027,0.47208,,
,3.32363,0.07358,11.04107,0.48909,,
,3.31737,0.07263,10.99965,0.48186,,
,3.31265,0.06852,10.96894,0.45398,,
,3.31019,0.06281,10.9534,0.41581,,
,3.30962,0.05666,10.95039,0.37504,,
,3.31035,0.05062,10.95585,0.33513,,
,3.31189,0.04487,10.96661,0.29723,,
,3.31393,0.03947,10.98056,0.26163,,
,3.31626,0.03442,10.9964,0.22831,,
,3.31876,0.02972,11.01331,0.19724,,
,3.32136,0.02535,11.0308,0.16837,,
,3.32401,0.02131,11.04861,0.1417,,
,3.32669,0.01763,11.06658,0.11727,,
,3.32939,0.01429,11.08466,0.09516,,
,3.33211,0.01133,11.10286,0.07548,,
,3.33486,0.00875,11.12119,0.05839,,
,3.33763,0.0066,11.13971,0.04407,,
,3.34043,0.00491,11.15846,0.03278,,
,3.34328,0.00371,11.1775,0.02483,,
,3.34617,0.00308,11.19687,0.0206,,
,3.34912,0.00308,11.21659,0.0206,,
,3.35212,0.0038,11.23667,0.02545,,
