Frequency	σRe	σIm
2.66602000E+12	NaN	1.87547320E+02
2.67090000E+12	NaN	1.88083980E+02
2.67578000E+12	NaN	1.88427830E+02
2.68066000E+12	NaN	1.88771670E+02
2.68555000E+12	NaN	1.89115520E+02
2.69043000E+12	NaN	1.85015280E+02
2.69531000E+12	NaN	1.85351060E+02
2.70020000E+12	NaN	1.85686840E+02
2.70508000E+12	NaN	1.86022620E+02
2.70996000E+12	NaN	1.86358400E+02
2.71484000E+12	NaN	1.86694180E+02
2.71973000E+12	NaN	1.87029960E+02
2.72461000E+12	NaN	1.87365740E+02
2.72949000E+12	NaN	1.87701520E+02
2.73438000E+12	NaN	1.88037300E+02
2.73926000E+12	NaN	1.88373080E+02
2.74414000E+12	NaN	1.88708870E+02
2.74902000E+12	NaN	1.89044650E+02
2.75391000E+12	NaN	1.89380430E+02
2.75879000E+12	NaN	1.89716210E+02
2.76367000E+12	NaN	1.94617060E+02
2.76855000E+12	NaN	1.94960910E+02
2.77344000E+12	NaN	1.95304750E+02
2.77832000E+12	NaN	1.95648600E+02
2.78320000E+12	NaN	1.95992450E+02
2.78809000E+12	NaN	1.96336290E+02
2.79297000E+12	NaN	1.96680140E+02
2.79785000E+12	NaN	1.97023990E+02
2.80273000E+12	NaN	1.97367830E+02
2.80762000E+12	NaN	1.97606250E+02
2.81250000E+12	NaN	1.97949910E+02
2.81738000E+12	NaN	1.98293570E+02
2.82227000E+12	NaN	1.98637240E+02
2.82715000E+12	NaN	1.98980900E+02
2.83203000E+12	NaN	1.94662330E+02
2.83691000E+12	NaN	1.94997950E+02
2.84180000E+12	NaN	1.95333580E+02
2.84668000E+12	NaN	1.95669200E+02
2.85156000E+12	NaN	1.96096050E+02
2.85645000E+12	NaN	1.96431830E+02
2.86133000E+12	NaN	1.96767610E+02
2.86621000E+12	NaN	1.92394860E+02
2.87109000E+12	NaN	1.92722620E+02
2.87598000E+12	NaN	1.93050380E+02
2.88086000E+12	NaN	1.93462280E+02
2.88574000E+12	NaN	1.93882490E+02
2.89063000E+12	NaN	1.94118080E+02
2.89551000E+12	NaN	1.94445980E+02
2.90039000E+12	NaN	1.94773890E+02
2.90527000E+12	NaN	1.95194720E+02
2.91016000E+12	NaN	1.95522780E+02
2.91504000E+12	NaN	1.91056020E+02
2.91992000E+12	NaN	1.91376040E+02
2.92480000E+12	NaN	1.91696070E+02
2.92969000E+12	NaN	1.92016100E+02
