Reference	Reference	Reference	windowed Reference	windowed Reference	windowed Reference	Sample	Sample	Sample	windowed Sample	windowed Sample	windowed Sample
Time (ps)	Mean	std error	Time (ps)	Mean	std error	Time (ps)	Mean	std error	Time (ps)	Mean	std error
120.95	-6.8e-05		120.95	-3.854048642285954e-05		123.2	-2.6e-05		123.55	1.3224657821331006e-05	
121.0	-5.13333e-05		121.0	-3.215860259916343e-05		123.24999999999999	-4.66667e-06		123.6	-2.9235133138028927e-06	
121.04999999999998	-3e-06		121.04999999999998	-2.0528660609375426e-06		123.3	-1.33333e-06		123.65	2.6002970105208874e-05	
121.1	-3.93333e-05		121.1	-2.9082316897972958e-05		123.35	3.33333e-06		123.7	1.62663944229293e-05	
121.15000000000002	2.93333e-05		121.15000000000002	2.320057106386805e-05		123.4	1.8e-05		123.74999999999999	3.1637178311159057e-06	
121.2	5.36667e-05		121.2	4.498176412152079e-05		123.45	1.2e-05		123.8	3.967330459471479e-05	
121.25	5.76667e-05		121.25	5.0769798198485547e-05		123.49999999999999	-1.46667e-05		123.85	1.5847211086688503e-05	
121.29999999999998	0.000126667		121.29999999999998	0.0001161535007993286		123.55	2.33333e-05		123.9	-1.3449347897822736e-05	
121.35	0.000157		121.35	0.00014874523747111		123.6	-4.66667e-06		123.95	-1.0737416559435231e-05	
121.40000000000002	0.000155333		121.40000000000002	0.0001508623673604047		123.65	3.8e-05		123.99999999999999	1.683443101059081e-05	
121.45	0.000221333		121.45	0.00021868540110354302		123.7	2.2e-05		124.05	2.7006337391999716e-05	
121.5	0.000261		121.5	0.0002603813039230673		123.74999999999999	4e-06		124.1	4.855133641238597e-05	
121.54999999999998	0.000353333		121.54999999999998	0.000353333		123.8	4.73333e-05		124.15	3.66667e-05	
121.6	0.000432		121.6	0.000432		123.85	1.8e-05		124.19999999999999	2.2e-05	
121.65000000000002	0.000484		121.65000000000002	0.000484		123.9	-1.46667e-05		124.25000000000001	3.6e-05	
121.7	0.000676333		121.7	0.000676333		123.95	-1.13333e-05		124.3	2.8e-05	
121.75	0.0008		121.75	0.0008		123.99999999999999	1.73333e-05		124.35	6.13333e-05	
121.79999999999998	0.00107		121.79999999999998	0.00107		124.05	2.73333e-05		124.4	9.46667e-05	
121.85	0.00131		121.85	0.00131		124.1	4.86667e-05		124.44999999999999	0.000152	
121.90000000000002	0.00177		121.90000000000002	0.00177		124.15	3.66667e-05		124.50000000000001	0.000203333	
121.95	0.00237		121.95	0.00237		124.19999999999999	2.2e-05		124.55	0.000218	
121.99999999999999	0.00309		121.99999999999999	0.00309		124.25000000000001	3.6e-05		124.6	0.000278667	
122.04999999999998	0.00404		122.04999999999998	0.00404		124.3	2.8e-05		124.65	0.000332	
122.1	0.00531		122.1	0.00531		124.35	6.13333e-05		124.69999999999999	0.000291333	
122.15	0.0068		122.15	0.0068		124.4	9.46667e-05		124.75000000000001	0.000162667	
122.2	0.00844		122.2	0.00844		124.44999999999999	0.000152		124.8	7.66667e-05	
122.24999999999999	0.00995		122.24999999999999	0.00995		124.50000000000001	0.000203333		124.85	-4.86667e-05	
122.30000000000001	0.01115		122.30000000000001	0.01115		124.55	0.000218		124.9	-0.000402667	
122.35	0.0117		122.35	0.0117		124.6	0.000278667		124.94999999999999	-0.000608667	
122.4	0.01114		122.4	0.01114		124.65	0.000332		125.00000000000001	-0.000837333	
122.45	0.00889		122.45	0.00889		124.69999999999999	0.000291333		125.05	-0.000998667	
122.49999999999999	0.00492		122.49999999999999	0.00492		124.75000000000001	0.000162667		125.09999999999998	-0.000956	
122.55000000000001	-0.00101		122.55000000000001	-0.00101		124.8	7.66667e-05		125.15	-0.000693333	
122.6	-0.0083		122.6	-0.0083		124.85	-4.86667e-05		125.19999999999999	-0.000222	
122.65	-0.01635		122.65	-0.01635		124.9	-0.000402667		125.25	0.000432	
122.7	-0.02351		122.7	-0.02351		124.94999999999999	-0.000608667		125.3	0.00106	
122.74999999999999	-0.0277		122.74999999999999	-0.0277		125.00000000000001	-0.000837333		125.34999999999998	0.00153	
122.80000000000001	-0.0284		122.80000000000001	-0.0284		125.05	-0.000998667		125.4	0.00162	
122.85	-0.02409		122.85	-0.02409		125.09999999999998	-0.000956		125.44999999999999	0.00123	
122.9	-0.01544		122.9	-0.01544		125.15	-0.000693333		125.5	0.000438667	
122.95	-0.00314		122.95	-0.00314		125.19999999999999	-0.000222		125.55	-0.000538	
122.99999999999999	0.00938		122.99999999999999	0.00938		125.25	0.000432		125.59999999999998	-0.00146	
123.05	0.01886		123.05	0.01886		125.3	0.00106		125.65	-0.00181	
