	Reference	Reference		Sample	Sample		Phase offset	Phase Diff
Frequency (THz)	Amplitude	Phase	Frequency (THz)	Amplitude	Phase
2.28889E12	0.00257	1588.67331	2.28889E12	4.19591E-4	1663.11657	74.44327	40.9873	33.45597
2.3E12	0.00252	1596.44698	2.3E12	4.16389E-4	1671.26454	74.81756	41.1863	33.63126
2.31111E12	0.00247	1604.2216	2.31111E12	4.1293E-4	1679.41339	75.19179	41.3852	33.80659
2.32222E12	0.00242	1611.9972	2.32222E12	4.09201E-4	1687.56317	75.56597	41.5842	33.98177
2.33333E12	0.00237	1619.77377	2.33333E12	4.05189E-4	1695.7139	75.94014	41.7832	34.15694
2.34444E12	0.00232	1627.55132	2.34444E12	4.00883E-4	1703.86564	76.31432	41.9821	34.33222
2.35556E12	0.00227	1635.32985	2.35556E12	3.96274E-4	1712.0184	76.68855	42.1811	34.50745
2.36667E12	0.00222	1643.10937	2.36667E12	3.91355E-4	1720.17224	77.06287	42.3801	34.68277
2.37778E12	0.00217	1650.88987	2.37778E12	3.86124E-4	1728.32719	77.43732	42.5791	34.85822
2.38889E12	0.00212	1658.67135	2.38889E12	3.8058E-4	1736.48329	77.81194	42.778	35.03394
2.4E12	0.00207	1666.45379	2.4E12	3.7473E-4	1744.64057	78.18678	42.977	35.20978
2.41111E12	0.00202	1674.23719	2.41111E12	3.6858E-4	1752.79907	78.56188	43.176	35.38588
2.42222E12	0.00196	1682.02152	2.42222E12	3.62145E-4	1760.95881	78.93729	43.3749	35.56239
2.43333E12	0.00191	1689.80679	2.43333E12	3.55441E-4	1769.11982	79.31304	43.5739	35.73914
2.44444E12	0.00186	1697.59295	2.44444E12	3.48488E-4	1777.28211	79.68916	43.7729	35.91626
2.45556E12	0.00181	1705.38	2.45556E12	3.41309E-4	1785.44568	80.06569	43.9718	36.09389
2.46667E12	0.00175	1713.1679	2.46667E12	3.33933E-4	1793.61054	80.44264	44.1708	36.27184
2.47778E12	0.0017	1720.95664	2.47778E12	3.26385E-4	1801.77666	80.82002	44.3698	36.45022
2.48889E12	0.00165	1728.74619	2.48889E12	3.18697E-4	1809.94403	81.19784	44.5687	36.62914
2.5E12	0.00159	1736.53652	2.5E12	3.10898E-4	1818.11258	81.57607	44.7677	36.80837
2.51111E12	0.00154	1744.32759	2.51111E12	3.03016E-4	1826.28229	81.95469	44.9667	36.98799
2.52222E12	0.00149	1752.11939	2.52222E12	2.9508E-4	1834.45307	82.33367	45.1656	37.16807
2.53333E12	0.00143	1759.91189	2.53333E12	2.87114E-4	1842.62484	82.71295	45.3646	37.34835
2.54444E12	0.00138	1767.70505	2.54444E12	2.79141E-4	1850.79752	83.09247	45.5636	37.52887
2.55556E12	0.00133	1775.49885	2.55556E12	2.7118E-4	1858.97101	83.47216	45.7625	37.70966
2.56667E12	0.00128	1783.29326	2.56667E12	2.63247E-4	1867.14519	83.85192	45.9615	37.89042
2.57778E12	0.00123	1791.08826	2.57778E12	2.55352E-4	1875.31995	84.23169	46.1605	38.07119
2.58889E12	0.00118	1798.88382	2.58889E12	2.47504E-4	1883.49519	84.61137	46.3594	38.25197
2.6E12	0.00113	1806.67992	2.6E12	2.39708E-4	1891.6708	84.99087	46.5584	38.43247
2.61111E12	0.00108	1814.47654	2.61111E12	2.31966E-4	1899.84666	85.37011	46.7574	38.61271
2.62222E12	0.00104	1822.27366	2.62222E12	2.24279E-4	1908.02269	85.74903	46.9563	38.79273
2.63333E12	9.89589E-4	1830.07127	2.63333E12	2.16644E-4	1916.19881	86.12754	47.1553	38.97224
2.64444E12	9.44373E-4	1837.86934	2.64444E12	2.09061E-4	1924.37495	86.50561	47.3543	39.15131
2.65556E12	9.00225E-4	1845.66788	2.65556E12	2.01528E-4	1932.55107	86.8832	47.5532	39.33
2.66667E12	8.57187E-4	1853.46686	2.66667E12	1.94044E-4	1940.72715	87.26029	47.7522	39.50809
2.67778E12	8.15298E-4	1861.2663	2.67778E12	1.86611E-4	1948.90317	87.63687	47.9512	39.68567
2.68889E12	7.7459E-4	1869.06619	2.68889E12	1.79231E-4	1957.07916	88.01297	48.1501	39.86287
2.7E12	7.35091E-4	1876.86652	2.7E12	1.71909E-4	1965.25514	88.38862	48.3491	40.03952
2.71111E12	6.96823E-4	1884.66732	2.71111E12	1.64652E-4	1973.43117	88.76385	48.5481	40.21575
2.72222E12	6.59803E-4	1892.46858	2.72222E12	1.57469E-4	1981.60732	89.13873	48.747	40.39173
2.73333E12	6.24044E-4	1900.27032	2.73333E12	1.50372E-4	1989.78365	89.51333	48.946	40.56733
2.74444E12	5.89554E-4	1908.07256	2.74444E12	1.43373E-4	1997.96028	89.88772	49.145	40.74272
2.75556E12	5.56337E-4	1915.87531	2.75556E12	1.36487E-4	2006.13729	90.26198	49.3439	40.91808
2.76667E12	5.24392E-4	1923.67859	2.76667E12	1.29728E-4	2014.31479	90.63619	49.5429	41.09329
2.77778E12	4.93717E-4	1931.48243	2.77778E12	1.23112E-4	2022.49287	91.01045	49.7419	41.26855
2.78889E12	4.64303E-4	1939.28683	2.78889E12	1.16653E-4	2030.67164	91.38481	49.9409	41.44391
2.8E12	4.3614E-4	1947.09183	2.8E12	1.10366E-4	2038.85119	91.75936	50.1398	41.61956
2.81111E12	4.09213E-4	1954.89744	2.81111E12	1.04264E-4	2047.03158	92.13414	50.3388	41.79534
2.82222E12	3.83505E-4	1962.70366	2.82222E12	9.83578E-5	2055.21287	92.50921	50.5378	41.97141
2.83333E12	3.58994E-4	1970.51052	2.83333E12	9.26575E-5	2063.39511	92.88459	50.7367	42.14789
2.84444E12	3.35658E-4	1978.31801	2.84444E12	8.71703E-5	2071.5783	93.26029	50.9357	42.32459
