freq_THz,fft_mag,n,k,eps_real,eps_imag,sigma_real,sigma_imag
2.152560083594462714e+00,4.018072700083267362e-02,1.134167294488159783e+00,7.893886640577021246e-03,1.286273138440297892e+00,1.790597610827893843e-02,2.144281910005185754e+00,-3.428186815205921789e+01
2.173458725182758400e+00,3.934042385955123511e-02,1.132717872229276557e+00,7.690400161861872877e-03,1.282990635812970126e+00,1.742210741587172859e-02,2.106593222898848428e+00,-3.421779818693709529e+01
2.194357366771054085e+00,3.849825564337701345e-02,1.131381782974672845e+00,7.536339237069248319e-03,1.279967942437853612e+00,1.705295384627478206e-02,2.081783547981963078e+00,-3.417781234755435804e+01
2.215256008359350215e+00,3.768038871010170182e-02,1.130095366929073419e+00,7.462118567950250421e-03,1.277059855141035039e+00,1.686581124223197892e-02,2.078546559258933613e+00,-3.414492195727705592e+01
2.236154649947645456e+00,3.688762473883702014e-02,1.128796957654736977e+00,7.440347689470300230e-03,1.274127212836849932e+00,1.679728367153505292e-02,2.089630461921378579e+00,-3.410221471440674179e+01
2.257053291535941142e+00,3.608715177098328897e-02,1.127471348258508588e+00,7.417218038544015797e-03,1.271136626020427762e+00,1.672540164448910530e-02,2.100133814214387495e+00,-3.404541240210645014e+01
2.277951933124237271e+00,3.522755862690177264e-02,1.126148258494056975e+00,7.361444743074756214e-03,1.268155709240492035e+00,1.658015635482773531e-02,2.101172828312315222e+00,-3.398288158174570839e+01
2.298850574712532513e+00,3.427020067455460034e-02,1.124865017597878492e+00,7.285713655962472793e-03,1.265268226191998746e+00,1.639088883965466106e-02,2.096244067233524966e+00,-3.392536858862950311e+01
2.319749216300828643e+00,3.321569503002140544e-02,1.123630796831011525e+00,7.228139498270239917e-03,1.262493921586487433e+00,1.624352028809419521e-02,2.096282410778019578e+00,-3.387574743642338859e+01
2.340647857889124328e+00,3.210595082254232707e-02,1.122420613718867699e+00,7.213117692032129311e-03,1.259776005034200619e+00,1.619230397343425151e-02,2.108498649227324773e+00,-3.382701786076414407e+01
2.361546499477420014e+00,3.099846179994067419e-02,1.121203151788826569e+00,7.224302245167119399e-03,1.257044317038269021e+00,1.619982089351294091e-02,2.128312093529465709e+00,-3.377015907284746987e+01
2.382445141065715699e+00,2.992966801836124610e-02,1.119978403395477162e+00,7.214792428234341470e-03,1.254299570842499767e+00,1.616082340920734980e-02,2.141977933206657525e+00,-3.370521757314802613e+01
2.403343782654011829e+00,2.889373895044479446e-02,1.118788814265732068e+00,7.147918115599232944e-03,1.251637318192735382e+00,1.599402166603962339e-02,2.138465148097504542e+00,-3.364492346902849107e+01
2.424242424242307514e+00,2.785228818909608536e-02,1.117690683640095495e+00,7.032869679094228520e-03,1.249183003039940898e+00,1.572114583915705521e-02,2.120258642174392527e+00,-3.360648270067387244e+01
2.445141065830603200e+00,2.676612822477379694e-02,1.116707852479936092e+00,6.925051486371998008e-03,1.246988471452261882e+00,1.546651874731892577e-02,2.103899984476907292e+00,-3.359767312501830361e+01
2.466039707418898885e+00,2.562359940443805981e-02,1.115802378367624970e+00,6.889119588592309412e-03,1.244967487602142597e+00,1.537379204362058528e-02,2.109160677315805366e+00,-3.360756998698202835e+01
2.486938349007194571e+00,2.444433074896746119e-02,1.114887339223189944e+00,6.947846197440213194e-03,1.242925506593380858e+00,1.549213152079215519e-02,2.143407731923832049e+00,-3.360986242693233095e+01
2.507836990595490256e+00,2.325629298877508744e-02,1.113881455739772708e+00,7.055747911588782992e-03,1.240682113862363378e+00,1.571853351018675030e-02,2.193006544196074881e+00,-3.357930626473797275e+01
2.528735632183785942e+00,2.206401680170033686e-02,1.112767916440320359e+00,7.125225031775782314e-03,1.238201667027178265e+00,1.585744362555510656e-02,2.230823458777501767e+00,-3.351018482372406027e+01
2.549634273772082071e+00,2.083433139840386999e-02,1.111609410826410738e+00,7.086817197382004434e-03,1.235625259259850894e+00,1.575554537883257222e-02,2.234806510572076022e+00,-3.342168428879644893e+01
