time_ps,amplitude,stderr
1.102499999999993605e+02,-9.571428571428571171e-05,6.421184972892951179e-06
1.102999999999993435e+02,-1.079999999999999824e-04,6.387700766976751255e-06
1.103499999999993548e+02,-1.091904761904761599e-04,7.042166334583654991e-06
1.103999999999993520e+02,-9.671428571428570891e-05,6.780932794437813446e-06
1.104499999999993491e+02,-7.390476190476188577e-05,6.135637093570782414e-06
1.104999999999993463e+02,-7.080952380952379725e-05,5.976545056378939926e-06
1.105499999999993435e+02,-6.433333333333332950e-05,6.015820664009760849e-06
1.105999999999993406e+02,-6.295238095238094467e-05,8.891953634280062019e-06
1.106499999999993378e+02,-6.566666666666665911e-05,6.192643088395858553e-06
1.106999999999993349e+02,-5.985714285714286971e-05,7.447896979694940169e-06
1.107499999999993321e+02,-6.219047619047621007e-05,6.458592871259742188e-06
1.107999999999993292e+02,-6.680952380952380845e-05,6.256084393989134313e-06
1.108499999999993264e+02,-6.819047619047622038e-05,6.451215682446920086e-06
1.108999999999993236e+02,-7.742857142857145780e-05,7.099323117517565768e-06
1.109499999999993207e+02,-7.576190476190475514e-05,6.029858578062953130e-06
